reward,channels,difficulty,duration,offer_type,ofr_id_short
10,"['email', 'mobile', 'social']",10,7,bogo,ofr_A
10,"['web', 'email', 'mobile', 'social']",10,5,bogo,ofr_B
0,"['web', 'email', 'mobile']",0,4,informational,ofr_C
5,"['web', 'email', 'mobile']",5,7,bogo,ofr_D
5,"['web', 'email']",20,10,discount,ofr_E
3,"['web', 'email', 'mobile', 'social']",7,7,discount,ofr_F
2,"['web', 'email', 'mobile', 'social']",10,10,discount,ofr_G
0,"['email', 'mobile', 'social']",0,3,informational,ofr_H
5,"['web', 'email', 'mobile', 'social']",5,5,bogo,ofr_I
2,"['web', 'email', 'mobile']",10,7,discount,ofr_J
