,ofr_id_short,event_completed,event_received,event_viewed,completition_rate,viewed_rate
0,ofr_A,3688.0,7658.0,6716.0,0.48158788195351265,0.8769913815617655
1,ofr_B,3331.0,7593.0,7298.0,0.4386935335177137,0.9611484261820098
2,ofr_C,,7617.0,4144.0,,0.5440462124195877
3,ofr_D,4354.0,7677.0,4171.0,0.5671486257652729,0.5433111892666406
4,ofr_E,3420.0,7668.0,2663.0,0.4460093896713615,0.34728742827334375
5,ofr_F,5156.0,7646.0,7337.0,0.6743395239340831,0.9595867120062778
6,ofr_G,5317.0,7597.0,7327.0,0.6998815321837567,0.9644596551270238
7,ofr_H,,7618.0,6687.0,,0.8777894460488317
8,ofr_I,4296.0,7571.0,7264.0,0.5674283450006604,0.9594505349359398
9,ofr_J,4017.0,7632.0,4118.0,0.5263364779874213,0.5395702306079665
