person,tran_count,tran_amoun_tot,tran_amoun_mean,tran_amoun_max,tran_amoun_min
0009655768c64bdeb2e877511632db8f,8,127.6,16.0,28.2,8.6
00116118485d4dfda04fdbaba9a87b5c,3,4.1,1.4,3.2,0.2
0011e0d4e6b944f998e987f904e8c1e5,5,79.5,15.9,23.0,9.0
0020c2b971eb4e9188eac86d93036a77,8,196.9,24.6,33.9,17.2
0020ccbbb6d84e358d3414a3ff76cffd,12,154.0,12.8,20.1,6.8
003d66b6608740288d6cc97a6903f4f0,18,48.3,2.7,7.4,0.4
00426fe3ffde4c6b9cb9ad6d077a13ea,17,68.5,4.0,17.0,0.4
004b041fbfe44859945daa2c7f79ee64,6,138.4,23.1,27.9,19.5
004c5799adbf42868b9cff0396190900,12,347.4,28.9,43.2,22.2
005500a7188546ff8a767329a2f7c76a,4,20.4,5.1,9.0,1.6
0056df74b63b4298809f0b375a304cf4,5,144.1,28.8,29.9,27.6
0063def0f9c14bc4805322a488839b32,3,7.2,2.4,2.8,2.1
0069a50874d846438e58acff5e594725,5,33.5,6.7,16.2,0.6
00715b6e55c3431cb56ff7307eb19675,15,375.1,25.0,41.8,11.5
0082fd87c18f45f2be70dbcbb0fb8aad,7,121.8,17.4,24.6,9.0
00840a2ca5d2408e982d56544dc14ffd,17,62.9,3.7,8.4,0.3
00857b24b13f4fe0ad17b605f00357f5,4,6.3,1.6,2.8,0.7
008d7088107b468893889da0ede0df5c,7,16.2,2.3,4.1,0.2
0091d2b6a5ea4defaa8393e4e816db60,12,279.2,23.3,42.8,12.8
0092a132ead946ceb30d11a1ed513d20,3,2.5,0.8,1.3,0.5
0099bf30e4cb4265875266eb3eb25eab,9,105.8,11.8,68.8,1.1
009d10c2c38a4fd795a7bc6ddbbddb78,7,11.8,1.7,3.6,0.1
00a794f62b9a48beb58f8f6c02c2f1a6,11,166.4,15.1,26.4,6.0
00ad4c2cace94f67a6354ec90d6c6f45,8,20.7,2.6,5.8,0.5
00ae03011f9f49b8a4b3e6d416678b0b,8,218.0,27.3,39.5,13.2
00aee28bbb3848dd8a31f0c91dc267dd,5,20.5,4.1,8.8,1.9
00b18b535d6d4f779dea4dc9ac451478,5,133.2,26.6,34.3,24.0
00b3400e4ff64ee68ce9ada1d0c222f0,10,163.9,16.4,23.9,9.8
00b3c376db2a4115af3aef34a02f61d6,8,219.6,27.5,33.8,19.4
00b5fb9d842d437e83033ad9e36f7148,3,7.7,2.6,3.8,0.9
00b901d68f8f4fd68075184cd0f772d2,4,53.6,13.4,20.2,9.7
00bbce6533f44ddeaf4dd32bcab55441,7,77.2,11.0,18.5,5.4
00bc42a62f884b41a13cc595856cf7c3,8,150.6,18.8,24.0,13.6
00bc983061d3471e8c8e74d31b7c8b6f,3,63.5,21.2,28.0,14.1
00c20a9202d5475190b31a24de6fb06d,8,164.0,20.5,25.2,14.4
00c2f812f4604c8893152a5c6572030e,5,124.1,24.8,39.1,13.0
00c32a104f0c4065b5b552895fb22e34,2,7.0,3.5,5.9,1.0
00c5a385c71a4d3db5e9b4e31e430943,2,2.6,1.3,1.6,1.0
00c6035df45840038a72766c6d27a0db,11,241.6,22.0,36.6,8.2
00c91f31f5f74e769fa7a359b63e1a9f,14,134.7,9.6,17.0,4.2
00ceaf16a40341e6996d543d04daa2c2,9,27.0,3.0,6.9,0.1
00cf1bbec83f4a658f8994e556db4633,3,64.3,21.4,33.3,13.8
00cf471ed1aa42a8bdde5561d67da2b1,8,26.2,3.3,8.4,0.6
00d6dc87be4146ceb47fcd4baaaf6477,12,334.6,27.9,42.8,19.4
00d791e20c564add8056498e40eb56cc,19,59.6,3.1,10.4,0.2
00d7c95f793a4212af44e632fdc1e431,7,162.4,23.2,29.4,18.6
00d91c5919514448bc4f718e4e3f26ab,2,44.6,22.3,25.4,19.2
00e20b4ca129458aaab0f4727ef3513a,20,191.5,9.6,125.3,0.1
00e52682848542c3a6f59b7824e9a5c5,2,23.1,11.5,15.8,7.3
00e8d701c583461e81cc10053681a12b,7,31.0,4.4,9.8,2.1
00e9f403afa641889cd034ee7c7ca6e9,17,614.6,36.2,439.4,2.2
00ed7e22b32749cfafbfd88592d401d4,11,237.0,21.5,32.6,14.6
00ee2ca6421c4af0aeca60a1b3e00f6c,1,4.0,4.0,4.0,4.0
00ee69db83964d6da32f8109b32a1ce7,5,15.8,3.2,5.9,1.4
00fac72fd6ad448e8019b175267023df,10,186.2,18.6,26.7,11.4
00fbb9b5edb94f02afbaf1eb49bb4d7d,3,80.1,26.7,33.1,15.1
00fdd4416dec40b49180814c0a7c8d76,3,76.6,25.6,31.2,20.4
0100dbd4e8554aa69b73b6ac0547f6bf,3,6.6,2.2,3.0,1.4
0103de989e084e0fab400e80678d7591,11,145.0,13.2,21.3,4.8
0106d19a26af41288035afc4b9b6c2c2,10,21.2,2.1,6.6,0.3
01162252405b4524a8fa1bf8e6d5f04b,18,129.9,7.2,13.9,1.4
01176ee7289b48e39ee6261d5c071a07,5,20.2,4.0,10.3,0.4
0118fbb66dd2443a9dd407d2c99a7672,3,64.0,21.3,27.6,17.5
0121fe001b7a404fa9cbe486f8944baf,6,191.7,31.9,48.1,23.2
0123564dbaf144a88a418c33b6350c17,6,176.7,29.5,32.8,21.7
012ee55a90bd4d969b0d0cdfaffdf6ab,11,10.0,0.9,1.8,0.1
013094309e1b49e095c098df412d125d,20,69.2,3.5,12.1,0.1
01380da907f8495496679c795867790b,8,155.0,19.4,25.8,8.6
013f2c82889f4641a9b847a48861cce0,9,186.5,20.7,33.4,12.8
0141d3870a424c03a20390040efad826,4,6.3,1.6,3.7,0.4
01443a2afce54939a323c978f467c540,16,417.9,26.1,40.7,16.0
014899c751254a62a96ce676eb11ddc2,10,287.1,28.7,42.1,19.5
0155a21497d54684a55c3bc609843768,10,7.9,0.8,1.7,0.1
0157e63b39c5456393026c6c03f3d84a,10,199.6,20.0,27.8,10.2
015c3d28c67e46aa95e9ec97c27220e8,10,235.4,23.5,30.0,13.3
015ef929e016415098eeae8ce59da721,3,18.3,6.1,7.7,5.1
015fb0b3fbaa4aceb910fbdf272f7547,6,14.3,2.4,4.3,0.5
