person,cnt_tran,sum_am_tran,mean_am_tran,median_am_tran,min_am_tran,max_am_tran,range_amount_tran,mean_t_tran,median_t_tran,min_t_tran,max_t_tran,range_t_tran,freq_tran,last_to_end_tran
0009655768c64bdeb2e877511632db8f,8,127.6,15.95,13.84,8.57,28.16,19.59,543.0,564.0,228,696,468,1.71,18
00116118485d4dfda04fdbaba9a87b5c,3,4.09,1.36,0.7,0.2,3.19,2.99,408.0,456.0,294,474,180,1.67,240
0011e0d4e6b944f998e987f904e8c1e5,5,79.46,15.89,13.49,8.96,23.03,14.07,451.2,576.0,132,654,522,0.96,60
0020c2b971eb4e9188eac86d93036a77,8,196.86,24.61,24.35,17.24,33.86,16.62,348.75,327.0,54,708,654,1.22,6
0020ccbbb6d84e358d3414a3ff76cffd,12,154.05,12.84,12.76,6.81,20.08,13.27,375.0,402.0,42,672,630,1.9,42
003d66b6608740288d6cc97a6903f4f0,18,48.34,2.69,2.27,0.44,7.41,6.97,421.67,441.0,66,696,630,2.86,18
00426fe3ffde4c6b9cb9ad6d077a13ea,17,68.51,4.03,3.08,0.37,16.97,16.6,266.82,216.0,36,696,660,2.58,18
004b041fbfe44859945daa2c7f79ee64,6,138.36,23.06,22.7,19.48,27.92,8.44,391.0,372.0,18,714,696,0.86,0
004c5799adbf42868b9cff0396190900,12,347.38,28.95,26.95,22.22,43.21,20.99,450.5,441.0,222,690,468,2.56,24
005500a7188546ff8a767329a2f7c76a,4,20.36,5.09,4.86,1.62,9.03,7.41,409.5,423.0,204,588,384,1.04,126
0056df74b63b4298809f0b375a304cf4,5,144.14,28.83,29.03,27.59,29.89,2.3,470.4,558.0,132,672,540,0.93,42
0063def0f9c14bc4805322a488839b32,3,7.21,2.4,2.39,2.06,2.76,0.7,216.0,228.0,30,390,360,0.83,324
0069a50874d846438e58acff5e594725,5,33.5,6.7,5.12,0.6,16.2,15.6,462.0,438.0,162,696,534,0.94,18
00715b6e55c3431cb56ff7307eb19675,15,375.12,25.01,24.42,11.49,41.78,30.29,295.6,300.0,12,702,690,2.17,12
0082fd87c18f45f2be70dbcbb0fb8aad,7,121.85,17.41,19.24,8.95,24.59,15.64,387.43,366.0,72,696,624,1.12,18
00840a2ca5d2408e982d56544dc14ffd,17,62.93,3.7,3.09,0.29,8.4,8.11,420.0,414.0,132,684,552,3.08,30
00857b24b13f4fe0ad17b605f00357f5,4,6.26,1.56,1.38,0.7,2.81,2.11,346.5,339.0,84,624,540,0.74,90
008d7088107b468893889da0ede0df5c,7,16.18,2.31,2.64,0.23,4.07,3.84,237.43,192.0,108,450,342,2.05,264
0091d2b6a5ea4defaa8393e4e816db60,12,279.16,23.26,22.23,12.84,42.83,29.99,311.5,369.0,6,540,534,2.25,174
0092a132ead946ceb30d11a1ed513d20,3,2.54,0.85,0.74,0.48,1.32,0.84,360.0,354.0,174,552,378,0.79,162
0099bf30e4cb4265875266eb3eb25eab,9,105.83,11.76,5.07,1.13,68.82,67.69,309.33,264.0,126,594,468,1.92,120
009d10c2c38a4fd795a7bc6ddbbddb78,7,11.78,1.68,1.06,0.07,3.65,3.58,269.14,204.0,30,684,654,1.07,30
00a794f62b9a48beb58f8f6c02c2f1a6,11,166.4,15.13,15.47,5.96,26.39,20.43,285.27,240.0,18,600,582,1.89,114
00ad4c2cace94f67a6354ec90d6c6f45,8,20.73,2.59,1.88,0.51,5.75,5.24,351.75,315.0,126,624,498,1.61,90
00ae03011f9f49b8a4b3e6d416678b0b,8,218.05,27.26,29.78,13.24,39.48,26.24,526.5,483.0,402,696,294,2.72,18
00aee28bbb3848dd8a31f0c91dc267dd,5,20.53,4.11,2.46,1.88,8.82,6.94,369.6,486.0,78,546,468,1.07,168
00b18b535d6d4f779dea4dc9ac451478,5,133.25,26.65,25.28,23.97,34.3,10.33,333.6,270.0,156,702,546,0.92,12
00b3400e4ff64ee68ce9ada1d0c222f0,10,163.92,16.39,15.58,9.8,23.88,14.08,461.4,555.0,60,702,642,1.56,12
00b3c376db2a4115af3aef34a02f61d6,8,219.63,27.45,28.06,19.44,33.85,14.41,527.25,591.0,252,678,426,1.88,36
