person,cnt_tran,sum_am_tran,mean_am_tran,median_am_tran,min_am_tran,max_am_tran,small_tran_count,big_tran_count,range_amount_tran,mean_t_tran,median_t_tran,min_t_tran,max_t_tran,range_t_tran,freq_tran,recency_tran,max_to_sum_am_tran,median_to_mean_am_tran,weekly_tran_mean,weekly_tran_min,weekly_tran_max
0009655768c64bdeb2e877511632db8f,8,127.6,15.95,13.84,8.57,28.16,2,2,19.59,543.0,564.0,228,696,468,1.71,713.03,0.22068965517241382,0.8677115987460815,2.0,1,4
00116118485d4dfda04fdbaba9a87b5c,3,4.09,1.36,0.7,0.2,3.19,1,1,2.99,408.0,456.0,294,474,180,1.67,713.34,0.7799511002444988,0.5147058823529411,1.5,1,2
0011e0d4e6b944f998e987f904e8c1e5,5,79.46,15.89,13.49,8.96,23.03,1,1,14.07,451.2,576.0,132,654,522,0.96,713.08,0.2898313616914171,0.8489616110761485,1.6666666666666667,1,3
0020c2b971eb4e9188eac86d93036a77,8,196.86,24.61,24.35,17.24,33.86,2,2,16.62,348.75,327.0,54,708,654,1.22,713.01,0.17200040638016864,0.9894351889475823,2.6666666666666665,2,4
0020ccbbb6d84e358d3414a3ff76cffd,12,154.05,12.84,12.76,6.81,20.08,3,3,13.27,375.0,402.0,42,672,630,1.9,713.06,0.1303472898409607,0.9937694704049844,3.0,1,5
003d66b6608740288d6cc97a6903f4f0,18,48.34,2.69,2.27,0.44,7.41,5,5,6.97,421.67,441.0,66,696,630,2.86,713.03,0.15328920148944972,0.8438661710037175,3.6,2,8
00426fe3ffde4c6b9cb9ad6d077a13ea,17,68.51,4.03,3.08,0.37,16.97,4,4,16.6,266.82,216.0,36,696,660,2.58,713.03,0.24770106553787766,0.7642679900744417,3.4,1,7
004b041fbfe44859945daa2c7f79ee64,6,138.36,23.06,22.7,19.48,27.92,2,2,8.44,391.0,372.0,18,714,696,0.86,713.0,0.20179242555651922,0.98438855160451,1.2,1,2
004c5799adbf42868b9cff0396190900,12,347.38,28.95,26.95,22.22,43.21,3,3,20.99,450.5,441.0,222,690,468,2.56,713.03,0.12438827796649203,0.9309153713298791,3.0,2,4
005500a7188546ff8a767329a2f7c76a,4,20.36,5.09,4.86,1.62,9.03,1,1,7.41,409.5,423.0,204,588,384,1.04,713.18,0.443516699410609,0.9548133595284873,2.0,2,2
0056df74b63b4298809f0b375a304cf4,5,144.14,28.83,29.03,27.59,29.89,1,1,2.3,470.4,558.0,132,672,540,0.93,713.06,0.20736783682530874,1.0069372181755116,1.6666666666666667,1,3
0063def0f9c14bc4805322a488839b32,3,7.21,2.4,2.39,2.06,2.76,1,1,0.7,216.0,228.0,30,390,360,0.83,713.45,0.3828016643550624,0.9958333333333335,1.0,1,1
0069a50874d846438e58acff5e594725,5,33.5,6.7,5.12,0.6,16.2,1,1,15.6,462.0,438.0,162,696,534,0.94,713.03,0.4835820895522388,0.764179104477612,1.25,1,2
00715b6e55c3431cb56ff7307eb19675,15,375.12,25.01,24.42,11.49,41.78,4,4,30.29,295.6,300.0,12,702,690,2.17,713.02,0.11137769247174238,0.9764094362255098,3.0,1,5
0082fd87c18f45f2be70dbcbb0fb8aad,7,121.85,17.41,19.24,8.95,24.59,2,2,15.64,387.43,366.0,72,696,624,1.12,713.03,0.20180549856380797,1.1051120045950602,1.4,1,2
00840a2ca5d2408e982d56544dc14ffd,17,62.93,3.7,3.09,0.29,8.4,4,4,8.11,420.0,414.0,132,684,552,3.08,713.04,0.13348164627363737,0.835135135135135,3.4,1,7
00857b24b13f4fe0ad17b605f00357f5,4,6.26,1.56,1.38,0.7,2.81,1,1,2.11,346.5,339.0,84,624,540,0.74,713.13,0.4488817891373802,0.8846153846153845,2.0,2,2
008d7088107b468893889da0ede0df5c,7,16.18,2.31,2.64,0.23,4.07,2,2,3.84,237.43,192.0,108,450,342,2.05,713.37,0.2515451174289246,1.1428571428571428,2.3333333333333335,2,3
0091d2b6a5ea4defaa8393e4e816db60,12,279.16,23.26,22.23,12.84,42.83,3,3,29.99,311.5,369.0,6,540,534,2.25,713.24,0.15342455939246308,0.9557179707652622,3.0,1,7
0092a132ead946ceb30d11a1ed513d20,3,2.54,0.85,0.74,0.48,1.32,1,1,0.84,360.0,354.0,174,552,378,0.79,713.23,0.5196850393700787,0.8705882352941177,1.0,1,1
0099bf30e4cb4265875266eb3eb25eab,9,105.83,11.76,5.07,1.13,68.82,2,2,67.69,309.33,264.0,126,594,468,1.92,713.17,0.6502881980534819,0.43112244897959184,2.25,1,3
009d10c2c38a4fd795a7bc6ddbbddb78,7,11.78,1.68,1.06,0.07,3.65,2,2,3.58,269.14,204.0,30,684,654,1.07,713.04,0.3098471986417657,0.630952380952381,1.75,1,3
00a794f62b9a48beb58f8f6c02c2f1a6,11,166.4,15.13,15.47,5.96,26.39,3,3,20.43,285.27,240.0,18,600,582,1.89,713.16,0.15859375,1.0224719101123596,2.75,2,4
00ad4c2cace94f67a6354ec90d6c6f45,8,20.73,2.59,1.88,0.51,5.75,2,2,5.24,351.75,315.0,126,624,498,1.61,713.13,0.27737578388808487,0.7258687258687259,2.0,1,3
00ae03011f9f49b8a4b3e6d416678b0b,8,218.05,27.26,29.78,13.24,39.48,2,2,26.24,526.5,483.0,402,696,294,2.72,713.03,0.18105939004815408,1.0924431401320616,2.6666666666666665,1,5
00aee28bbb3848dd8a31f0c91dc267dd,5,20.53,4.11,2.46,1.88,8.82,1,1,6.94,369.6,486.0,78,546,468,1.07,713.24,0.4296151972722845,0.5985401459854014,1.25,1,2
00b18b535d6d4f779dea4dc9ac451478,5,133.25,26.65,25.28,23.97,34.3,0,1,10.33,333.6,270.0,156,702,546,0.92,713.02,0.2574108818011257,0.9485928705440901,1.6666666666666667,1,3
00b3400e4ff64ee68ce9ada1d0c222f0,10,163.92,16.39,15.58,9.8,23.88,3,3,14.08,461.4,555.0,60,702,642,1.56,713.02,0.1456808199121523,0.9505796217205613,2.0,1,4
00b3c376db2a4115af3aef34a02f61d6,8,219.63,27.45,28.06,19.44,33.85,2,2,14.41,527.25,591.0,252,678,426,1.88,713.05,0.15412284296316534,1.0222222222222221,2.0,1,4
