,person,gender,age,offer_type,income,cnt_offer_completed,cnt_offer_received,cnt_offer_viewed,t_offer_completed,t_offer_received,t_offer_viewed,to_vr,to_cv,to_cr,curiosity_vr,eagerness_cv,overall_cr,influence,ext_influence
0,0009655768c64bdeb2e877511632db8f,M,33,bogo,72000,1,1,1,414,408,456,48,-42,6,2,-2,14,0,0
1,0009655768c64bdeb2e877511632db8f,M,33,discount,72000,2,2,1,552,540,540,0,12,12,100,7,7,1,0
2,0009655768c64bdeb2e877511632db8f,M,33,informational,72000,0,2,2,0,252,282,30,0,0,3,0,0,0,0
3,0011e0d4e6b944f998e987f904e8c1e5,O,40,bogo,57000,1,1,1,576,504,516,12,60,72,7,1,1,1,0
4,0011e0d4e6b944f998e987f904e8c1e5,O,40,discount,57000,2,2,2,414,288,309,21,105,126,4,0,0,1,0
5,0011e0d4e6b944f998e987f904e8c1e5,O,40,informational,57000,0,2,2,0,168,180,12,0,0,7,0,0,0,0
6,0020c2b971eb4e9188eac86d93036a77,F,59,bogo,90000,1,2,1,510,288,426,138,84,222,0,1,0,1,0
7,0020c2b971eb4e9188eac86d93036a77,F,59,discount,90000,2,2,1,282,168,12,-156,270,114,0,0,0,1,0
8,0020c2b971eb4e9188eac86d93036a77,F,59,informational,90000,0,1,1,0,504,660,156,0,0,0,0,0,0,0
9,0020ccbbb6d84e358d3414a3ff76cffd,F,24,bogo,60000,2,2,2,489,420,465,45,24,69,2,4,1,1,0
10,0020ccbbb6d84e358d3414a3ff76cffd,F,24,discount,60000,1,1,1,222,168,168,0,54,54,100,1,1,1,0
11,0020ccbbb6d84e358d3414a3ff76cffd,F,24,informational,60000,0,1,1,0,408,408,0,0,0,100,0,0,0,0
12,003d66b6608740288d6cc97a6903f4f0,F,26,discount,73000,3,3,2,528,360,360,0,168,168,100,0,0,1,0
13,003d66b6608740288d6cc97a6903f4f0,F,26,informational,73000,0,2,2,0,168,204,36,0,0,2,0,0,0,0
14,00426fe3ffde4c6b9cb9ad6d077a13ea,F,19,discount,65000,1,4,1,258,372,186,-186,72,-114,0,1,0,1,0
15,00426fe3ffde4c6b9cb9ad6d077a13ea,F,19,informational,65000,0,1,1,0,0,36,36,0,0,2,0,0,0,0
16,004b041fbfe44859945daa2c7f79ee64,F,55,bogo,74000,1,1,1,534,504,510,6,24,30,14,4,3,1,0
17,004b041fbfe44859945daa2c7f79ee64,F,55,discount,74000,1,1,1,714,576,576,0,138,138,100,0,0,1,0
18,004b041fbfe44859945daa2c7f79ee64,F,55,informational,74000,0,1,0,0,168,0,0,0,0,0,0,0,0,0
19,004c5799adbf42868b9cff0396190900,M,54,bogo,99000,3,3,2,442,416,462,46,-20,26,2,-5,3,0,0
20,004c5799adbf42868b9cff0396190900,M,54,discount,99000,2,2,2,399,372,411,39,-12,27,2,-9,3,0,0
21,005500a7188546ff8a767329a2f7c76a,M,56,bogo,47000,1,4,3,582,312,274,-38,308,270,-2,0,0,1,0
22,005500a7188546ff8a767329a2f7c76a,M,56,discount,47000,0,1,0,0,408,0,0,0,0,0,0,0,0,0
23,0056df74b63b4298809f0b375a304cf4,M,54,bogo,91000,1,1,1,132,0,24,24,108,132,4,0,0,1,0
24,0056df74b63b4298809f0b375a304cf4,M,54,discount,91000,2,2,1,495,492,654,162,-159,3,0,0,25,0,0
25,0056df74b63b4298809f0b375a304cf4,M,54,informational,91000,0,1,1,0,504,528,24,0,0,4,0,0,0,0
26,00715b6e55c3431cb56ff7307eb19675,F,58,bogo,119000,2,2,1,177,168,36,-132,141,9,0,0,10,1,0
27,00715b6e55c3431cb56ff7307eb19675,F,58,discount,119000,3,3,2,470,416,396,-20,74,54,-5,1,1,1,0
28,00715b6e55c3431cb56ff7307eb19675,F,58,informational,119000,0,1,0,0,408,0,0,0,0,0,0,0,0,0
29,0082fd87c18f45f2be70dbcbb0fb8aad,F,28,bogo,68000,2,2,1,408,372,348,-24,60,36,-4,1,2,1,0
30,0082fd87c18f45f2be70dbcbb0fb8aad,F,28,informational,68000,0,3,3,0,224,274,50,0,0,1,0,0,0,0
31,00840a2ca5d2408e982d56544dc14ffd,M,26,bogo,61000,1,1,0,522,408,0,0,0,114,0,0,0,0,0
32,00840a2ca5d2408e982d56544dc14ffd,M,26,discount,61000,2,4,2,393,312,357,45,36,81,2,2,1,1,0
33,00840a2ca5d2408e982d56544dc14ffd,M,26,informational,61000,0,1,0,0,336,0,0,0,0,0,0,0,0,0
34,00857b24b13f4fe0ad17b605f00357f5,M,71,bogo,41000,0,4,3,0,312,292,-20,0,0,-5,0,0,0,0
35,00857b24b13f4fe0ad17b605f00357f5,M,71,discount,41000,0,1,0,0,576,0,0,0,0,0,0,0,0,0
36,008d7088107b468893889da0ede0df5c,M,24,bogo,42000,0,3,3,0,304,328,24,0,0,4,0,0,0,0
37,008d7088107b468893889da0ede0df5c,M,24,discount,42000,0,1,0,0,168,0,0,0,0,0,0,0,0,0
38,008d7088107b468893889da0ede0df5c,M,24,informational,42000,0,2,2,0,456,501,45,0,0,2,0,0,0,0
39,0091d2b6a5ea4defaa8393e4e816db60,F,62,bogo,81000,3,4,4,318,372,375,3,-57,-54,25,-1,-1,0,0
40,0091d2b6a5ea4defaa8393e4e816db60,F,62,discount,81000,1,1,1,300,168,252,84,48,132,1,2,0,1,0
41,0099bf30e4cb4265875266eb3eb25eab,M,61,bogo,66000,0,1,1,0,168,180,12,0,0,7,0,0,0,0
42,0099bf30e4cb4265875266eb3eb25eab,M,61,discount,66000,2,4,2,327,354,288,-66,39,-27,-1,2,-3,1,0
43,00a794f62b9a48beb58f8f6c02c2f1a6,F,88,bogo,54000,1,2,2,534,456,459,3,75,78,25,1,1,1,0
44,00a794f62b9a48beb58f8f6c02c2f1a6,F,88,informational,54000,0,3,3,0,168,184,16,0,0,5,0,0,0,0
45,00ae03011f9f49b8a4b3e6d416678b0b,M,55,bogo,83000,2,2,1,516,456,534,78,-18,60,1,-5,1,0,0
